frameTime,loudness_sma,F0final_sma,F0finalLog_sma,voicingFinalUnclipped_sma,HarmonicsToNoiseRatioACFLogdB_sma
1.150000,6.531080e-01,0,0,7.007482e-01,0
1.160000,5.162908e-01,7.327583e+01,1.696676e+01,7.082539e-01,-5.094581e+00
1.170000,4.815179e-01,6.818279e+01,1.561733e+01,7.119961e-01,-4.638083e+00
1.180000,4.472577e-01,6.298421e+01,1.424162e+01,7.093668e-01,-4.650591e+00
1.190000,4.011652e-01,5.787687e+01,1.288262e+01,7.123702e-01,-4.748808e+00
1.200000,3.425338e-01,5.807338e+01,1.294098e+01,7.178437e-01,-4.852350e+00
1.210000,3.148054e-01,5.874136e+01,1.313723e+01,7.225943e-01,-4.712919e+00
1.220000,2.816363e-01,5.898493e+01,1.320985e+01,7.239063e-01,-4.342777e+00
1.230000,2.729922e-01,5.951728e+01,1.336505e+01,7.275954e-01,-4.129207e+00
1.240000,2.440847e-01,5.983855e+01,1.345711e+01,7.289355e-01,-4.612689e+00
1.250000,2.372613e-01,6.054156e+01,1.366163e+01,7.354999e-01,-4.893510e+00
1.260000,2.279016e-01,0,0,7.508541e-01,0
1.270000,2.848281e-01,3.922710e+02,4.597462e+01,7.779053e-01,5.500416e+00
1.280000,4.844296e-01,4.055893e+02,4.654687e+01,7.836264e-01,4.570510e+00
1.290000,8.584701e-01,4.604511e+02,4.868757e+01,7.878129e-01,4.185350e+00
1.300000,1.199647e+00,5.079124e+02,5.037895e+01,7.897528e-01,4.791549e+00
1.310000,1.500282e+00,5.647037e+02,5.229660e+01,8.368427e-01,7.330345e+00
1.320000,1.755668e+00,5.899800e+02,5.306685e+01,8.764470e-01,1.032707e+01
1.330000,2.040499e+00,6.052991e+02,5.352165e+01,9.104611e-01,1.202429e+01
1.340000,1.999353e+00,6.056611e+02,5.353204e+01,9.004252e-01,1.135490e+01
1.350000,1.717916e+00,4.708269e+02,4.719455e+01,8.627970e-01,5.805775e+00
1.360000,1.282700e+00,3.360050e+02,4.084938e+01,8.109195e-01,5.912052e-01
1.370000,9.314539e-01,2.017832e+02,3.450357e+01,7.520154e-01,-3.030078e+00
1.380000,6.155254e-01,2.010867e+02,3.444366e+01,7.221144e-01,-2.707285e+00
1.390000,4.115306e-01,1.535005e+02,2.736177e+01,7.044573e-01,-2.538257e+00
1.400000,3.304694e-01,1.091861e+02,2.111337e+01,7.084181e-01,-4.078991e+00
1.410000,3.164353e-01,6.484960e+01,1.481783e+01,7.152198e-01,-4.749883e+00
1.420000,3.109878e-01,6.738920e+01,1.551651e+01,7.252709e-01,-4.332142e+00
1.430000,2.979205e-01,6.737832e+01,1.551374e+01,7.376161e-01,-2.963562e+00
1.440000,2.853042e-01,6.779287e+01,1.561945e+01,7.425672e-01,-2.909276e+00
1.450000,2.712072e-01,6.583072e+01,1.508722e+01,7.335476e-01,-3.767740e+00
1.460000,2.613409e-01,6.472383e+01,1.478855e+01,7.436485e-01,-4.120912e+00
1.470000,2.636458e-01,0,0,7.386279e-01,0
1.480000,2.602335e-01,0,0,7.413526e-01,0
1.490000,2.581843e-01,6.154374e+01,1.394534e+01,7.199426e-01,-3.930844e+00
1.500000,2.481258e-01,6.256706e+01,1.422653e+01,7.102869e-01,-4.435707e+00
1.510000,2.389133e-01,6.385588e+01,1.458150e+01,7.006337e-01,-5.631947e+00
1.520000,2.279865e-01,6.819244e+01,1.567844e+01,7.004005e-01,-5.844021e+00
1.530000,2.299824e-01,7.163172e+01,1.653337e+01,7.096073e-01,-5.185562e+00
1.540000,2.305540e-01,7.495222e+01,1.735844e+01,7.157326e-01,-4.522451e+00
1.550000,2.383250e-01,7.256008e+01,1.677926e+01,7.076645e-01,-5.941720e+00
1.560000,2.403750e-01,6.861672e+01,1.578766e+01,7.109532e-01,-6.038134e+00
1.570000,2.399533e-01,6.453439e+01,1.475542e+01,7.266570e-01,-5.263401e+00
1.580000,2.354977e-01,6.271777e+01,1.427315e+01,7.496104e-01,-2.863585e+00
1.590000,2.299826e-01,6.252593e+01,1.422027e+01,7.544615e-01,-2.415729e+00
