frameIndex;frameTime;voiceProb_sma;F0_sma;pcm_loudness_sma
104;1.040000;5.803019e-01;6.896552e+01;5.778269e-02
105;1.050000;7.757963e-01;1.380803e+02;5.827045e-02
106;1.060000;8.424470e-01;2.074950e+02;6.211188e-02
107;1.070000;8.477856e-01;2.079441e+02;9.485998e-02
108;1.080000;8.156112e-01;2.076494e+02;9.614256e-02
109;1.090000;8.119675e-01;2.066108e+02;1.891280e-01
110;1.100000;8.252820e-01;2.057189e+02;2.546493e-01
111;1.110000;7.947285e-01;2.055684e+02;3.363811e-01
112;1.120000;6.211666e-01;2.063097e+02;3.298388e-01
113;1.130000;5.619638e-01;1.377869e+02;2.951587e-01
114;1.140000;6.003808e-01;1.396020e+02;2.418200e-01
115;1.150000;7.359850e-01;1.411251e+02;1.610961e-01
116;1.160000;6.932561e-01;2.119216e+02;1.246551e-01
117;1.170000;7.088844e-01;1.414370e+02;2.159333e-01
118;1.180000;7.615746e-01;1.455628e+02;3.385976e-01
119;1.190000;8.813999e-01;1.495327e+02;4.331850e-01
120;1.200000;8.973677e-01;2.244746e+02;5.186312e-01
121;1.210000;8.721189e-01;2.246501e+02;5.175340e-01
122;1.220000;7.922179e-01;2.243040e+02;3.873281e-01
123;1.230000;7.476915e-01;2.230964e+02;2.162034e-01
124;1.240000;7.534973e-01;2.207262e+02;1.137546e-01
125;1.250000;7.995170e-01;2.182165e+02;1.551837e-01
126;1.260000;8.255450e-01;2.170479e+02;1.432871e-01
127;1.270000;8.412123e-01;2.178722e+02;1.626094e-01
128;1.280000;8.760855e-01;2.196945e+02;1.547377e-01
129;1.290000;8.989320e-01;2.208615e+02;2.534898e-01
130;1.300000;9.053997e-01;2.211982e+02;2.784443e-01
131;1.310000;9.049494e-01;2.210291e+02;3.540521e-01
132;1.320000;9.039182e-01;2.206908e+02;3.066474e-01
133;1.330000;9.000068e-01;2.203526e+02;3.122951e-01
134;1.340000;8.983399e-01;2.201835e+02;3.177552e-01
135;1.350000;8.879843e-01;2.227019e+02;3.588581e-01
136;1.360000;8.844665e-01;2.281271e+02;3.620479e-01
137;1.370000;8.900473e-01;2.341375e+02;3.068592e-01
138;1.380000;8.498582e-01;2.374345e+02;1.966361e-01
139;1.390000;6.325787e-01;2.374326e+02;2.247634e-01
140;1.400000;4.063472e-01;1.580276e+02;2.221994e-01
141;1.410000;2.361034e-01;7.881773e+01;2.183450e-01
142;1.420000;2.849079e-01;0;1.087290e-01
143;1.430000;3.101720e-01;0;9.579097e-02
144;1.440000;3.461971e-01;0;1.969504e-01
145;1.450000;4.471645e-01;0;2.590195e-01
146;1.460000;5.998360e-01;7.729469e+01;2.244523e-01
147;1.470000;7.695397e-01;1.569677e+02;1.517092e-01
148;1.480000;7.909738e-01;2.392304e+02;1.299269e-01
149;1.490000;7.298433e-01;2.444100e+02;1.335961e-01
150;1.500000;7.036527e-01;2.446214e+02;9.494819e-02
151;1.510000;7.422489e-01;2.394676e+02;1.653168e-01
152;1.520000;8.249202e-01;2.333696e+02;2.797801e-01
153;1.530000;8.513680e-01;2.284369e+02;3.586263e-01
154;1.540000;8.566111e-01;2.236073e+02;2.331211e-01
155;1.550000;8.795123e-01;2.175611e+02;2.311495e-01
156;1.560000;9.014639e-01;2.126316e+02;1.705086e-01
157;1.570000;9.204264e-01;2.094748e+02;2.463330e-01
158;1.580000;9.315400e-01;2.073754e+02;2.175769e-01
